name,cate_1,cate_2,cate_3,area,address,lon,lat,rate,distance,tag,cate_4,link
강남면옥,한식,냉면집,한식 음식점업,대치동,서울특별시 강남구 도곡로 428,37.4974610767342,127.057328865525,2.6,1133.0,냉면,국수,https://place.map.kakao.com/8163082
더착한피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",대치동,서울특별시 강남구 역삼로78길 15,37.5015605650684,127.057288637623,4.0,678.0,피자,패스트푸드,https://place.map.kakao.com/9538622
북창동순두부,한식,순두부전문,한식 음식점업,대치동,서울특별시 강남구 역삼로63길 24,37.5027796518486,127.051991531653,2.7,743.0,두부,한식,https://place.map.kakao.com/18763274
캠토,패스트푸드,패스트푸드,그외 기타 음식점업,대치동,서울특별시 강남구 도곡로78길 6,37.4977170504442,127.058920252959,0.0,1109.0,토스트,패스트푸드,https://place.map.kakao.com/25970183
일호식당,한식,한식/백반/한정식,한식 음식점업,대치동,서울특별시 강남구 역삼로 459,37.5028312884027,127.057317900582,3.1,537.0,"육류,고기",육류/고기,https://place.map.kakao.com/1981219046
고씨떡볶이,분식,라면김밥분식,분식 및 김밥 전문점,삼성동,서울특별시 강남구 봉은사로84길 34,37.5111566378124,127.0561386319,4.7,416.0,떡볶이,분식,https://place.map.kakao.com/1700890979
경평면옥,한식,냉면집,한식 음식점업,삼성동,서울특별시 강남구 삼성로104길 12,37.5108469651786,127.055724015725,3.5,399.0,냉면,국수,https://place.map.kakao.com/1252572990
죠스떡볶이,분식,떡볶이전문,분식 및 김밥 전문점,대치동,서울특별시 강남구 선릉로64길 5,37.497837889095294,127.052619471603,2.6,1181.0,떡볶이,분식,https://place.map.kakao.com/199323434
티엔티엔티엔,중식,중국음식/중국집,중식 음식점업,삼성동,서울특별시 강남구 테헤란로77길 22,37.5080058117068,127.054244157979,4.0,313.0,퓨전중식,중식,https://place.map.kakao.com/8117380
김밥천국,분식,라면김밥분식,분식 및 김밥 전문점,대치동,서울특별시 강남구 삼성로85길 42,37.5046227559395,127.053732632053,2.3,489.0,분식,분식,https://place.map.kakao.com/16055870
하남돼지집,한식,갈비/삼겹살,한식 음식점업,대치동,서울특별시 강남구 선릉로64길 9,37.4979764793066,127.053047473787,2.4,1153.0,삼겹살,육류/고기,https://place.map.kakao.com/27271736
오감국시,분식,국수/만두/칼국수,분식 및 김밥 전문점,대치동,서울특별시 강남구 테헤란로78길 14-9,37.5049739053172,127.054825303673,3.0,394.0,국수,국수,https://place.map.kakao.com/26647236
둥이,한식,갈비/삼겹살,한식 음식점업,대치동,서울특별시 강남구 삼성로 307,37.4994038322821,127.060278844525,3.8,943.0,냉면,국수,https://place.map.kakao.com/14603182
강남칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,삼성동,서울특별시 강남구 영동대로 602,37.5145808720792,127.060688099709,5.0,813.0,국수,국수,https://place.map.kakao.com/18719111
강남목호등대,일식/수산물,횟집,한식 음식점업,삼성동,서울특별시 강남구 삼성로95길 15,37.5077374237006,127.054485070126,4.8,289.0,회,해물/생선,https://place.map.kakao.com/21159398
더그릴앤커리,양식,정통양식/경양식,서양식 음식점업,대치동,서울특별시 강남구 삼성로85길 11,37.5045881509052,127.056164781276,0.0,368.0,양식,양식,https://place.map.kakao.com/564640624
대치닭칼국수,분식,국수/만두/칼국수,분식 및 김밥 전문점,대치동,서울특별시 강남구 역삼로63길 19-10,37.5023778708335,127.051329324465,0.0,816.0,한식,한식,https://place.map.kakao.com/26647236
전주한정식,한식,한정식전문,한식 음식점업,대치동,서울특별시 강남구 선릉로82길 25,37.5030506672959,127.052078585333,4.5,716.0,한식,한식,https://place.map.kakao.com/8978777
두루치기유선생,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 봉은사로114길 42,37.5121576635909,127.065310913566,1.5,834.0,"불고기,두루치기",육류/고기,https://place.map.kakao.com/1141385651
평안도순대국,별식/퓨전요리,순대전문점,한식 음식점업,대치동,서울특별시 강남구 선릉로90길 38,37.5047374674151,127.052306084963,5.0,580.0,순대,곱창/막창/순대,https://place.map.kakao.com/1655708001
수궁갈비,한식,갈비/삼겹살,한식 음식점업,삼성동,서울특별시 강남구 봉은사로97길 4,37.5142923006748,127.058395429387,2.6,741.0,"찌개,전골",국/탕,https://place.map.kakao.com/16377737
신동궁감자탕뼈숯불구이,한식,해장국/감자탕,한식 음식점업,대치동,서울특별시 강남구 선릉로86길 39,37.5041021363552,127.052857006252,3.6,585.0,감자탕,국/탕,https://place.map.kakao.com/11356521
